Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
611.001,611.08,0.0,0.043,0.139,0.194,6.633,6.623,4.625,4.622,6.623,1294.414,4.314,4.114,6.633,0.0
611.377,611.388,0.231,0.336,0.498,0.552,13.14,13.13,11.137,11.129,13.13,,10.828,10.628,13.14,6.635
611.401,611.437,0.533,0.571,0.595,0.638,20.202,20.192,18.199,24.457,20.192,,17.89,17.69,20.202,13.14
611.522,611.548,0.687,1.165,0.953,1.228,26.468,26.458,24.465,30.542,26.459,,24.156,23.956,26.468,20.203
611.808,611.949,2.106,2.197,1.26,1.69,32.553,32.543,30.55,36.391,32.544,,30.242,30.041,32.554,26.469
611.959,612.296,2.501,2.652,1.816,1.899,38.402,38.392,36.399,43.502,38.392,,36.09,35.89,38.402,32.554
612.37,612.435,2.697,2.777,1.951,2.05,45.513,45.503,43.51,49.869,45.503,,43.201,43.001,45.513,38.402
612.495,612.522,2.88,3.456,3.307,3.404,51.879,51.869,49.877,57.206,51.869,,49.568,49.368,51.879,45.514
614.565,614.633,3.518,3.542,3.502,3.529,59.217,59.207,57.214,63.223,59.208,,56.906,56.705,59.218,51.88
615.01,615.611,3.573,3.598,3.557,3.615,65.233,65.223,63.231,69.278,65.223,,62.922,62.722,65.234,59.218
615.616,615.668,3.63,3.704,3.649,3.685,71.289,71.279,69.286,76.75,71.279,,68.977,68.777,71.289,65.234
615.675,615.744,3.732,3.764,3.718,3.745,78.761,78.751,76.758,82.421,78.752,,76.449,76.249,78.761,71.289
615.746,615.794,3.809,3.855,3.834,3.877,84.431,84.421,82.429,89.164,84.422,,82.12,81.92,84.432,78.762
615.794,615.817,3.904,4.162,4.102,4.701,91.174,91.164,89.172,96.307,91.165,,88.863,88.663,91.175,84.432
615.868,615.926,4.194,4.607,4.743,4.784,98.318,98.308,96.315,103.487,98.308,,96.006,95.806,98.318,91.175
615.934,615.942,4.647,4.674,4.837,4.877,105.498,105.488,103.495,110.771,105.489,,103.186,102.986,105.498,98.318
616.005,616.059,4.722,4.763,4.948,4.992,112.781,112.771,110.779,117.729,112.772,,110.47,110.27,112.782,105.499
616.073,616.074,4.805,4.913,5.728,5.772,119.739,119.729,117.737,123.725,119.73,,117.428,117.228,119.74,112.782
616.135,616.327,5.025,6.97,6.148,6.278,125.736,125.726,123.733,130.99,125.726,,123.424,123.224,125.736,119.74
616.27,616.466,6.956,7.001,6.55,6.921,133.001,132.991,130.998,136.531,132.991,,130.689,130.489,133.001,125.737
616.401,616.606,6.983,7.102,6.904,6.964,138.542,138.532,136.539,144.04,138.532,,136.23,136.03,138.542,133.002
616.541,616.753,7.069,7.153,6.948,6.99,146.051,146.041,144.048,150.24,146.041,,143.739,143.539,146.051,138.543
616.685,616.926,7.127,7.317,6.977,7.116,152.251,152.241,150.248,156.268,152.241,,149.939,149.739,152.251,146.052
616.862,617.075,7.259,7.45,7.088,7.171,158.279,158.269,156.276,163.376,158.269,,155.967,155.767,158.279,152.251
617.008,617.225,7.354,7.632,7.14,7.28,165.387,165.377,163.384,169.985,165.377,,163.075,162.875,165.387,158.28
617.149,617.381,7.53,8.655,7.238,7.726,171.995,171.985,169.993,176.572,171.985,,169.684,169.484,171.996,165.388
617.299,617.543,8.404,8.747,7.398,8.159,178.582,178.572,176.58,183.636,178.573,,176.271,176.071,178.583,171.996
617.461,617.7,8.714,8.922,7.782,8.358,185.647,185.637,183.644,190.223,185.638,,183.335,183.135,185.648,178.583
617.622,617.848,8.839,9.098,8.295,8.526,192.233,192.223,190.231,196.279,192.224,,189.922,189.722,192.234,185.648
617.789,618.008,8.995,9.271,8.501,10.422,198.29,198.28,196.287,202.951,198.28,,195.978,195.778,198.29,192.234
617.931,618.172,9.165,9.681,10.386,10.464,204.962,211.56,202.959,209.56,204.952,,202.65,202.45,204.962,198.291
618.093,618.339,9.598,9.985,10.442,10.536,211.57,217.756,209.567,215.755,211.561,,209.258,209.058,211.571,204.963
618.256,618.502,9.882,10.304,10.514,10.602,217.766,224.368,215.763,229.158,217.756,,215.454,215.254,217.766,211.571
618.415,618.634,10.091,10.433,10.559,10.682,224.378,231.158,222.375,235.655,224.368,,222.066,221.866,224.378,217.766
618.576,618.644,10.408,10.479,10.652,10.723,231.168,237.656,229.165,241.829,231.159,,228.856,228.656,231.169,224.378
618.639,618.663,10.453,10.525,10.703,10.763,237.666,243.83,235.663,248.191,237.656,,235.354,235.154,237.666,231.169
618.646,618.85,10.5,10.579,10.74,10.826,243.84,250.192,241.837,255.244,243.83,,241.528,241.328,243.84,237.666
618.7,618.915,10.546,10.693,10.801,10.875,250.202,257.245,248.2,261.389,250.192,,247.89,247.69,250.202,243.841
618.891,619.003,10.67,10.732,10.849,11.04,257.255,269.952,255.252,267.952,257.245,,254.943,254.743,257.255,250.203
618.963,619.155,10.713,10.814,10.919,11.131,263.4,276.26,261.398,274.259,263.391,,261.088,260.888,263.401,257.256
619.02,619.275,10.75,10.861,11.083,11.226,269.962,283.51,267.96,281.509,269.953,,267.651,267.451,269.963,263.401
619.224,619.424,10.837,10.953,11.209,11.252,276.27,290.942,274.267,288.942,276.26,,273.958,273.758,276.27,269.963
619.356,619.591,10.891,11.16,11.24,11.275,283.52,297.099,281.517,295.099,283.511,,281.208,281.008,283.521,276.27
619.543,619.743,11.017,11.218,11.263,11.298,290.952,303.269,288.95,301.269,290.943,,288.641,288.441,290.953,283.521
619.699,619.877,11.193,11.246,11.287,11.32,297.109,308.939,295.107,306.939,297.1,,294.798,294.598,297.11,290.953
619.821,620.019,11.234,11.269,11.309,11.343,303.279,316.135,301.277,314.134,303.27,,300.968,300.768,303.28,297.11
619.985,620.294,11.258,11.292,11.331,11.373,308.949,323.245,306.946,321.245,308.94,,313.833,306.438,308.95,303.28
620.268,620.502,11.281,11.315,11.356,11.49,316.145,329.389,314.142,327.389,316.135,,320.943,313.633,316.145,308.95
620.401,620.596,11.304,11.337,11.399,11.519,323.255,335.134,321.253,333.133,323.246,,327.088,320.743,323.256,316.146
620.592,620.719,11.326,11.364,11.506,11.539,329.399,342.047,327.397,340.047,329.39,,332.832,326.888,329.4,323.256
620.68,620.843,11.349,11.418,11.53,11.555,335.144,348.648,333.141,346.647,335.134,,339.746,332.632,335.144,329.4
620.793,620.978,11.384,11.499,11.547,11.569,342.057,354.711,340.055,352.71,342.048,,346.346,339.546,342.058,335.145
620.918,621.115,11.479,11.525,11.562,11.583,348.658,361.877,346.655,359.876,348.648,,352.409,346.146,348.658,342.058
621.051,621.266,11.513,11.543,11.576,11.597,354.721,374.362,352.718,365.395,354.711,,359.575,352.209,354.721,348.658
621.186,621.415,11.535,11.559,11.59,11.614,361.887,380.064,359.884,372.362,361.877,,365.094,359.375,361.887,354.722
621.34,621.581,11.551,11.572,11.605,11.678,367.406,386.285,365.403,378.064,367.397,,372.061,364.894,367.406,361.888
621.503,621.75,11.566,11.586,11.626,11.7,374.372,392.802,372.37,384.285,374.363,,377.763,371.861,374.373,367.407
621.666,621.919,11.579,11.601,11.69,11.719,380.074,399.289,378.072,390.801,380.065,,390.5,377.563,380.075,374.373
621.851,622.103,11.593,11.619,11.71,11.739,386.295,405.219,384.292,397.288,386.286,,396.987,390.3,386.296,380.075
622.02,622.141,11.609,11.67,11.73,11.76,392.811,412.499,390.809,403.218,392.802,,402.917,396.787,392.812,386.296
622.134,622.192,11.634,11.695,11.749,11.784,399.299,418.141,397.296,416.141,399.289,,410.197,402.717,399.299,392.812
622.171,622.651,11.684,11.715,11.771,11.811,405.229,423.657,403.226,421.656,405.219,,415.84,409.997,405.229,399.3
622.201,622.819,11.706,11.734,11.797,11.841,412.509,436.866,410.506,428.046,412.499,,421.355,415.64,412.509,405.23
622.603,622.932,11.724,11.755,11.826,11.879,418.151,443.851,416.149,434.865,418.142,,427.745,421.155,418.152,412.51
622.755,622.968,11.744,11.777,11.86,11.912,423.667,450.168,421.664,441.85,423.657,,434.564,427.545,423.667,418.152
622.865,623.149,11.766,11.803,11.896,11.934,430.057,456.128,428.054,448.167,430.047,,441.549,434.364,430.057,423.667
622.945,623.33,11.789,11.833,11.924,11.951,436.876,463.226,434.873,461.225,436.866,,447.866,441.349,436.876,430.058
623.09,623.504,11.818,11.869,11.943,11.967,443.861,469.036,441.858,467.035,443.851,,453.826,447.666,443.861,436.877
623.222,623.69,11.85,11.904,11.959,11.981,450.178,475.801,448.175,473.8,450.168,,460.924,453.626,450.178,443.862
623.409,623.898,11.888,11.928,11.974,11.993,456.138,482.141,461.233,480.14,456.128,,466.734,460.724,456.138,450.179
623.593,624.087,11.918,11.947,11.987,12.005,463.236,489.492,467.043,487.491,463.226,,473.499,466.534,463.236,456.138
623.809,624.331,11.938,11.962,11.999,12.016,469.046,496.243,473.808,494.242,469.036,,479.839,473.299,469.046,463.236
624.007,624.489,11.955,11.977,12.01,12.027,475.811,503.541,480.148,501.54,475.801,,487.19,479.639,475.811,469.046
624.257,624.797,11.97,11.99,12.021,12.037,482.151,515.963,487.499,508.185,482.141,,493.941,486.99,482.151,475.811
624.488,624.939,11.984,12.001,12.032,12.048,489.502,521.992,494.25,513.962,489.492,,501.239,493.741,489.502,482.151
624.749,624.99,11.996,12.013,12.042,12.06,496.253,528.919,501.548,519.991,496.244,,507.884,501.039,496.254,489.502
624.889,625.061,12.007,12.023,12.054,12.071,503.551,534.686,508.193,526.919,503.541,,519.69,507.684,503.551,496.255
624.94,625.287,12.018,12.034,12.065,12.083,510.196,540.246,513.97,532.685,510.186,,526.618,513.461,510.196,503.551
625.035,625.358,12.029,12.045,12.078,12.097,515.973,547.629,519.999,538.245,515.963,,532.384,519.49,515.973,510.196
625.1,625.546,12.04,12.057,12.09,12.114,522.002,553.769,526.927,545.628,521.992,,537.944,526.418,522.002,515.973
625.324,626.77,12.051,12.068,12.105,12.139,528.929,560.699,532.693,551.768,528.92,,545.328,532.184,528.93,522.003
626.874,626.936,12.062,12.08,12.125,12.211,534.696,568.032,538.253,558.698,534.686,,551.467,537.744,534.696,528.93
627.002,627.078,12.074,12.094,12.188,12.264,540.256,575.464,545.636,566.031,540.246,,558.397,545.127,540.256,534.697
627.133,627.439,12.087,12.109,12.234,12.346,547.639,582.943,551.776,573.463,547.629,,565.73,551.267,547.639,540.257
627.494,627.547,12.101,12.13,12.314,12.464,553.779,590.311,558.706,580.942,553.769,,573.162,558.197,553.779,547.64
627.619,627.68,12.119,12.171,12.372,12.663,560.709,597.276,566.039,588.31,560.7,,580.641,565.53,560.71,553.779
627.754,627.828,12.154,12.222,12.575,12.702,568.042,602.876,573.471,600.876,568.032,,588.009,572.962,568.042,560.71
627.899,627.971,12.2,12.331,12.685,12.741,575.474,610.312,580.95,608.312,575.464,,594.974,580.441,575.474,568.042
628.041,628.12,12.249,12.391,12.719,12.798,582.953,616.159,588.318,614.158,582.943,,600.574,587.809,582.953,575.475
