Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: after_v2 Finished,Trial name: after_v2 started,Trial name: before_v2 Finished,Trial name: before_v2 started,Trial name: first_v7 Finished,Trial name: first_v7 started
2.493,2.518,1.486,1.559,0.0,0.027,5.48,5.479,3.406,3.403,5.479,1321.985,3.096,2.896,142.897,136.284,64.8,58.431,5.48,0.0
2.575,2.642,1.725,1.786,0.151,0.217,11.371,11.37,9.289,9.282,11.371,,8.981,8.781,162.995,155.252,96.908,90.962,11.372,5.484
2.923,2.741,1.86,2.269,0.339,0.383,18.026,18.025,16.001,15.994,18.026,,15.692,15.493,189.969,183.001,148.393,142.897,18.026,11.372
3.09,2.878,2.286,2.297,0.635,0.706,24.826,24.825,22.767,22.76,24.825,,22.459,22.259,307.401,301.409,202.237,196.319,24.826,18.027
3.239,3.034,2.306,2.314,0.752,0.851,31.19,31.189,29.166,29.159,31.189,,28.858,28.658,320.22,313.709,230.937,223.711,31.19,24.826
3.403,3.181,2.321,2.327,0.925,1.055,38.595,38.594,36.555,36.548,38.595,,36.247,36.047,340.209,334.106,334.106,327.532,38.596,31.19
3.571,3.342,2.333,2.339,1.097,1.331,45.923,45.922,43.831,43.824,45.922,,43.524,43.324,346.502,340.209,441.326,434.608,45.923,38.596
3.668,3.494,2.344,2.349,1.834,1.894,52.542,52.541,50.454,50.447,52.541,,50.146,49.946,379.574,372.728,541.929,534.987,52.542,45.924
3.769,3.584,2.355,2.36,2.003,2.143,58.43,58.43,56.362,56.355,58.43,,56.054,55.854,392.912,386.427,548.688,541.929,58.431,52.542
3.818,3.702,2.366,2.371,2.169,2.25,64.8,64.799,62.793,62.786,64.799,,62.685,62.485,428.273,421.324,574.978,568.436,72.322,64.801
4.397,3.796,2.377,2.381,2.279,2.292,72.322,72.321,70.248,70.241,72.321,,69.94,69.74,514.708,507.388,602.017,594.696,78.041,72.323
4.579,3.821,2.386,2.391,2.302,2.31,78.041,78.04,75.952,75.945,78.041,,75.643,75.443,634.346,628.115,609.193,602.017,85.128,78.042
4.93,4.531,2.395,2.399,2.318,2.324,85.127,85.126,83.036,83.029,85.127,,82.728,82.527,693.02,686.308,668.171,661.166,90.961,85.128
5.002,4.728,2.403,2.407,2.33,2.336,90.961,90.96,88.953,88.947,90.961,,88.646,88.446,711.273,705.1,673.924,668.172,104.241,96.908
5.022,4.997,2.412,2.416,2.342,2.347,96.908,96.907,94.838,94.831,96.907,,94.73,94.53,820.572,813.505,679.357,673.925,109.909,104.241
9.347,5.013,2.42,2.425,2.352,2.358,104.24,104.239,102.213,102.206,104.24,,101.905,101.705,1014.423,1007.135,730.16,724.497,117.45,109.909
9.499,5.031,2.429,2.434,2.363,2.369,109.908,109.907,107.84,107.833,109.908,,107.532,107.332,1061.732,1054.29,841.027,834.961,124.777,117.45
9.615,9.233,2.437,2.442,2.374,2.379,117.45,117.449,122.713,115.356,117.449,,115.055,114.855,1094.864,1087.582,892.875,887.374,130.702,124.777
9.735,9.383,2.447,2.452,2.384,2.388,124.777,124.776,128.702,122.706,124.776,,122.405,122.205,1100.821,1094.864,899.892,892.875,136.284,130.702
9.898,9.54,2.457,2.461,2.392,2.397,130.702,130.701,134.228,128.695,130.701,,128.394,128.194,1151.706,1144.895,906.225,899.892,155.252,148.393
15.842,9.663,2.467,2.473,2.401,2.405,136.284,136.283,140.864,134.221,136.283,,133.92,133.72,1164.246,1158.016,972.227,966.873,170.25,162.996
15.961,9.784,2.481,2.491,2.41,2.414,142.897,142.896,146.369,140.858,142.896,,140.356,140.156,1186.856,1179.12,999.833,992.775,176.225,170.251
16.106,9.951,2.521,2.532,2.418,2.422,148.393,148.392,153.161,146.362,148.392,,152.853,146.061,1206.531,1199.786,1054.29,1047.01,183.001,176.225
16.266,15.871,2.539,2.546,2.427,2.431,155.252,155.251,160.936,153.154,155.251,,160.428,152.653,1265.537,1259.389,1067.431,1061.732,196.319,189.969
16.388,16.002,2.551,2.557,2.436,2.44,162.995,162.994,168.205,160.929,162.994,,167.897,160.228,1272.118,1265.537,1087.581,1080.533,209.5,202.237
16.508,16.141,2.562,2.568,2.445,2.449,170.25,170.249,174.194,168.198,170.25,,173.886,167.697,1293.423,1286.343,1125.157,1119.083,216.516,209.5
16.667,16.318,2.575,2.581,2.454,2.459,176.225,176.224,180.95,174.187,176.224,,180.642,173.686,1300.685,1293.424,1139.255,1132.139,223.711,216.516
22.698,16.436,2.588,2.595,2.464,2.47,183.001,183.0,187.922,180.943,183.0,,187.414,180.442,1307.515,1300.686,1144.895,1139.256,237.087,230.937
22.837,16.552,2.604,2.616,2.476,2.485,189.969,189.968,194.249,187.915,189.968,,193.941,187.214,1314.313,1307.516,1227.039,1219.701,243.602,237.087
22.961,16.68,2.676,2.69,2.503,2.511,196.319,196.318,200.223,194.242,196.318,,200.115,193.741,1321.984,1314.314,1239.645,1234.099,249.994,243.603
23.057,22.726,2.703,2.714,2.527,2.536,202.236,202.236,207.453,200.216,202.236,,207.145,199.915,,,,,256.555,249.995
23.163,22.881,2.723,2.731,2.542,2.549,209.499,209.498,214.436,207.446,209.499,,214.128,206.945,,,,,262.453,256.555
23.274,22.999,2.738,2.745,2.555,2.56,216.515,216.514,221.635,214.429,216.515,,221.327,213.928,,,,,268.105,262.453
23.39,23.096,2.752,2.758,2.566,2.571,223.71,223.709,228.922,221.628,223.71,,228.814,221.127,,,,,275.432,268.105
23.511,23.206,2.765,2.772,2.577,2.584,230.936,230.935,235.014,228.914,230.936,,234.706,228.614,,,,,282.815,275.433
23.635,23.317,2.78,2.788,2.592,2.599,237.086,237.085,241.552,235.007,237.086,,241.244,234.506,,,,,288.53,282.815
23.77,23.435,2.795,2.804,2.61,2.626,243.602,243.601,247.939,241.545,243.602,,247.631,241.044,,,,,295.833,288.531
23.92,23.559,2.817,2.849,2.665,2.683,249.994,249.993,254.512,247.932,249.994,,254.204,247.431,,,,,301.409,295.834
24.06,23.687,2.863,2.873,2.697,2.709,256.554,256.553,260.454,254.505,256.554,,260.146,254.004,,,,,313.709,307.401
24.213,23.828,2.883,2.891,2.719,2.727,262.452,262.452,266.036,260.447,262.452,,265.728,259.946,,,,,327.532,320.221
24.53,23.979,2.902,2.902,2.734,2.741,268.105,268.104,273.409,266.029,268.104,,273.101,265.528,,,,,353.049,346.503
24.726,24.12,2.902,2.914,2.748,2.755,275.432,275.431,280.772,273.402,275.431,,280.464,272.901,,,,,358.629,353.05
24.873,24.263,2.941,2.959,2.762,2.769,282.815,282.814,286.503,280.766,282.814,,286.195,280.264,,,,,366.067,358.629
25.205,24.597,2.976,3.024,2.776,2.783,288.53,288.529,293.783,286.496,288.529,,293.475,285.995,,,,,372.728,366.067
25.4,24.747,3.041,3.056,2.791,2.799,295.833,295.832,305.359,293.776,295.833,,299.039,293.275,,,,,386.427,379.574
28.998,24.906,3.093,3.109,2.81,2.857,301.409,301.408,311.711,299.339,301.409,,304.851,298.838,,,,,399.453,392.912
29.127,25.253,3.122,3.133,2.869,2.878,307.401,307.4,318.218,305.352,307.4,,311.403,304.651,,,,,406.649,399.453
29.21,25.418,3.149,3.234,2.887,2.896,313.709,313.708,325.502,311.704,313.708,,317.71,311.203,,,,,414.034,406.649
29.372,29.031,3.261,3.323,2.907,2.951,320.22,320.219,332.098,318.211,320.22,,325.193,317.51,,,,,421.324,414.035
29.474,29.164,3.335,3.347,2.966,2.987,327.531,327.53,338.128,325.494,327.531,,331.99,324.993,,,,,434.608,428.273
29.583,29.297,3.362,3.395,3.012,3.033,334.105,334.104,344.43,332.091,334.105,,337.62,331.79,,,,,448.039,441.326
29.693,29.406,3.416,3.435,3.048,3.102,340.208,340.207,351.027,338.121,340.208,,343.922,337.42,,,,,454.229,448.039
29.805,29.518,3.468,3.483,3.115,3.128,346.502,346.501,356.629,344.423,346.502,,350.719,343.722,,,,,460.796,454.23
29.921,29.626,3.493,3.502,3.14,3.16,353.049,353.048,363.987,351.021,353.048,,356.321,350.519,,,,,467.575,460.796
