Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
0.043,0.059,0.07,0.208,0.0,0.042,6.184,6.174,4.176,4.173,6.175,1310.111,11.046,3.666,6.185,0.0
0.405,0.446,0.231,0.265,0.11,0.191,13.358,13.348,11.355,11.347,13.348,,17.61,10.846,13.358,6.186
1.05,1.078,0.305,0.354,0.22,0.244,19.922,19.912,17.919,17.911,19.912,,24.397,17.41,19.922,13.358
4.691,1.08,0.492,0.526,0.331,0.388,26.709,26.699,24.706,24.698,26.699,,31.723,24.197,26.709,19.922
11.371,4.562,0.551,0.579,0.431,0.462,34.035,34.025,32.032,32.024,34.026,,37.359,31.523,34.035,26.71
11.584,4.756,0.623,0.742,0.512,0.539,39.671,39.661,37.668,37.66,39.661,,44.817,37.16,39.671,34.036
11.699,11.429,0.808,0.852,0.565,0.598,47.129,47.119,45.126,45.118,47.119,,51.321,44.617,47.129,39.672
11.829,11.623,0.919,0.939,0.693,0.779,53.633,53.623,51.63,51.622,53.623,,58.615,51.121,53.633,47.13
11.959,11.737,0.957,0.975,0.833,0.931,60.926,60.916,58.923,58.915,60.916,,64.909,58.414,60.926,53.634
12.104,11.848,0.998,1.037,0.948,0.965,67.22,67.21,65.217,65.209,67.21,,71.986,71.786,67.22,60.927
12.257,12.01,1.057,1.072,0.985,1.08,74.298,74.288,72.295,72.287,74.288,,79.036,78.836,74.298,67.221
12.409,12.147,1.087,1.101,1.065,1.11,81.348,81.338,85.035,79.337,81.338,,84.726,84.526,81.348,74.298
13.489,12.293,1.118,1.202,1.094,1.189,87.038,87.028,91.846,85.027,87.028,,91.537,91.337,87.038,81.349
13.68,12.466,1.221,1.246,1.129,1.231,93.849,101.136,99.143,91.838,93.839,,98.834,98.634,93.849,87.038
13.835,13.546,1.275,1.295,1.212,1.301,101.146,107.846,105.853,99.135,101.136,,105.544,105.344,101.146,93.849
14.194,13.703,1.307,1.316,1.287,1.321,107.856,114.058,112.066,105.845,107.846,,111.756,111.557,107.856,101.146
15.418,13.892,1.325,1.333,1.312,1.337,114.068,119.963,117.97,112.058,114.059,,117.662,117.462,114.068,107.857
15.891,14.25,1.34,1.348,1.329,1.351,119.973,127.276,125.284,117.962,119.963,,124.975,124.775,119.973,114.069
16.138,15.465,1.354,1.361,1.344,1.363,127.286,133.921,131.929,125.276,127.277,,131.62,131.42,127.287,119.974
17.875,15.945,1.367,1.372,1.358,1.376,133.931,140.325,138.333,138.325,133.922,,138.024,137.824,133.932,127.287
18.02,16.182,1.379,1.385,1.37,1.388,140.335,147.103,145.11,145.102,140.326,,144.801,144.601,140.336,133.932
18.146,17.924,1.391,1.397,1.382,1.401,147.113,153.95,151.957,151.949,147.103,,151.648,151.448,147.113,140.336
18.263,18.078,1.403,1.41,1.394,1.413,153.96,161.452,159.459,159.451,153.95,,159.15,158.95,153.96,147.113
18.379,18.19,1.416,1.423,1.407,1.426,161.462,168.697,166.705,166.697,161.452,,166.396,166.196,161.462,153.96
18.502,18.304,1.429,1.435,1.419,1.438,168.707,174.37,172.378,172.37,168.698,,172.069,171.869,168.708,161.462
18.644,18.422,1.44,1.446,1.432,1.449,174.38,179.939,177.947,177.939,174.371,,177.638,177.438,174.381,168.708
18.802,18.544,1.451,1.457,1.444,1.46,179.949,186.617,184.625,184.616,179.94,,184.316,184.116,179.95,174.381
20.243,18.685,1.462,1.467,1.455,1.47,186.627,193.085,191.093,191.085,186.617,,190.784,190.584,186.627,179.95
20.731,18.845,1.473,1.478,1.465,1.48,193.095,198.653,196.661,196.653,193.086,,196.352,202.077,193.096,186.628
20.942,20.27,1.482,1.488,1.475,1.49,198.663,204.578,202.586,202.578,198.654,,202.277,209.016,198.663,193.096
21.139,20.789,1.492,1.497,1.485,1.5,204.588,211.517,209.525,209.517,204.579,,209.216,216.1,204.589,198.664
21.345,20.996,1.502,1.506,1.495,1.508,211.527,218.601,216.609,216.601,211.517,,216.3,222.732,211.527,204.589
21.995,21.194,1.51,1.514,1.504,1.517,218.611,225.233,223.241,223.233,218.602,,222.932,228.659,218.612,211.528
23.435,21.399,1.519,1.522,1.512,1.525,225.243,231.161,229.168,229.16,225.234,,228.859,234.676,225.244,218.612
23.598,22.048,1.527,1.531,1.521,1.533,231.171,237.178,235.185,235.177,231.161,,234.876,241.509,231.171,225.244
23.749,22.986,1.535,1.539,1.529,1.541,237.188,244.011,242.018,242.01,237.178,,241.709,247.134,237.188,231.171
23.908,23.17,1.543,1.546,1.537,1.548,244.021,249.636,247.643,247.635,244.011,,247.334,254.518,244.021,237.188
24.061,23.504,1.55,1.553,1.544,1.555,249.646,257.019,255.027,255.019,249.636,,254.718,261.113,249.646,244.022
24.655,23.66,1.557,1.56,1.552,1.563,257.029,263.615,261.622,261.614,257.02,,261.313,266.891,257.03,249.647
24.939,23.818,1.564,1.567,1.559,1.569,263.625,269.393,267.4,267.392,263.615,,267.091,273.538,263.625,257.03
25.062,23.96,1.571,1.574,1.566,1.576,269.402,276.04,274.047,274.039,269.393,,273.738,279.742,269.403,263.625
25.182,24.108,1.578,1.581,1.572,1.583,276.05,282.244,280.251,280.243,276.04,,279.942,286.859,276.05,269.403
25.303,24.712,1.584,1.587,1.579,1.589,282.254,289.361,287.368,287.36,282.244,,287.059,293.368,282.254,276.05
