Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
0.451,0.468,0.0,0.011,0.006,0.016,5.898,5.898,3.872,3.87,5.898,1293.475,3.563,3.363,5.899,0.0
0.54,0.57,0.021,0.03,0.025,0.034,12.175,12.174,10.085,10.079,12.174,,9.777,9.577,12.175,5.901
0.617,0.63,0.038,0.047,0.043,0.051,18.059,18.058,16.035,16.028,18.058,,15.727,15.527,18.059,12.176
4.002,4.086,0.055,0.063,0.059,0.067,25.301,25.301,23.209,23.202,25.301,,22.901,22.701,25.302,18.06
4.157,4.173,0.071,0.079,0.075,0.083,31.196,31.195,29.131,29.124,31.196,,28.823,28.623,31.197,25.302
4.179,4.235,0.086,0.094,0.091,0.099,37.542,37.541,35.497,35.49,37.542,,35.189,34.989,37.542,31.198
4.364,4.406,0.104,0.114,0.109,0.118,43.985,43.984,41.979,48.943,43.984,,41.671,41.471,43.985,37.543
4.5,4.532,0.124,0.137,0.129,0.147,50.986,50.985,48.95,55.567,50.986,,48.642,48.442,50.986,43.986
10.103,10.148,0.212,0.232,0.197,0.223,57.618,57.617,55.574,61.674,57.617,,55.266,55.065,57.618,50.987
10.242,10.268,0.25,0.267,0.241,0.258,63.768,63.767,61.681,69.241,63.767,,61.373,61.173,63.768,57.619
10.347,10.384,0.287,0.316,0.275,0.299,71.273,71.272,69.248,75.189,71.272,,68.94,68.74,71.273,63.769
12.395,12.448,0.404,0.429,0.337,0.387,77.269,77.268,75.196,81.614,77.269,,74.887,74.687,77.27,71.273
12.539,12.602,0.45,0.475,0.417,0.441,83.617,83.616,87.57,87.563,83.617,,81.313,81.113,83.617,77.27
13.824,13.833,0.667,0.694,0.462,0.501,89.607,89.606,93.173,93.166,89.607,,87.262,87.062,89.608,83.618
15.652,15.065,0.709,0.72,0.534,0.621,95.242,95.241,99.704,99.698,95.242,,92.865,92.665,95.243,89.608
16.035,15.699,0.73,0.738,0.683,0.703,101.713,101.712,106.333,106.326,101.713,,99.397,99.197,101.713,95.243
16.271,16.081,0.746,0.754,0.715,0.725,108.417,108.416,112.182,112.175,108.416,,106.025,105.825,108.417,101.714
16.408,16.3,0.764,0.773,0.734,0.742,114.27,114.269,118.439,118.432,114.269,,111.874,111.674,114.27,108.418
16.602,16.459,0.784,0.801,0.75,0.759,120.469,120.468,125.961,125.954,120.469,,118.131,117.931,120.469,114.271
18.937,16.64,0.826,0.846,0.768,0.778,127.992,127.991,132.32,132.312,127.991,,125.653,125.453,127.992,120.47
19.084,18.97,0.86,0.874,0.791,0.837,134.409,134.408,138.938,138.931,134.408,,132.011,131.811,134.409,127.993
