Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: first_v7 Finished,Trial name: first_v7 started
0.278,0.348,0.002,0.004,0.0,0.002,6.614,6.613,4.58,4.578,6.613,1309.074,4.27,4.07,6.615,0.0
2.472,2.55,0.006,0.007,0.004,0.006,12.393,12.393,10.384,10.377,12.393,,10.076,9.876,12.394,6.616
2.638,2.702,0.013,0.011,0.007,0.01,19.901,19.9,17.9,17.894,19.901,,17.592,17.392,19.902,12.394
4.462,4.511,0.017,0.016,0.01,0.017,27.262,27.261,25.234,25.227,27.262,,24.925,24.726,27.263,19.902
4.808,4.888,0.021,0.019,0.014,0.02,33.791,33.79,31.734,31.727,33.791,,31.426,31.226,33.791,27.263
4.965,5.031,0.025,0.023,0.019,0.024,40.265,40.264,38.214,38.207,40.265,,37.906,37.705,40.265,33.792
5.365,5.454,0.028,0.026,0.022,0.027,46.227,46.226,44.161,44.155,46.226,,43.854,43.654,46.227,40.266
5.577,5.655,0.032,0.03,0.026,0.031,53.701,53.7,51.613,51.606,53.7,,51.305,51.105,53.701,46.228
6.288,6.369,0.036,0.034,0.029,0.035,60.802,60.802,58.797,58.79,60.802,,58.489,58.289,60.803,53.701
6.531,6.589,0.04,0.038,0.033,0.039,67.13,67.129,65.105,65.098,67.13,,64.797,64.597,67.131,60.803
6.702,6.726,0.043,0.042,0.037,0.043,74.173,74.172,72.098,72.091,74.172,,71.79,71.59,74.173,67.131
8.783,8.854,0.048,0.045,0.041,0.047,80.215,80.214,78.182,78.175,80.215,,77.874,77.674,80.216,74.173
9.002,9.005,0.052,0.049,0.044,0.051,87.602,87.601,85.53,85.523,87.601,,85.223,85.022,87.602,80.216
11.067,11.119,0.056,0.054,0.048,0.055,93.195,93.194,91.15,91.143,93.194,,90.842,90.642,93.195,87.603
11.212,11.263,0.059,0.057,0.052,0.059,99.651,99.65,97.631,97.624,99.65,,97.323,97.123,99.651,93.195
11.333,11.381,0.064,0.062,0.057,0.064,107.027,107.026,104.995,104.988,107.026,,104.687,104.487,107.027,99.651
11.463,11.498,0.069,0.067,0.061,0.068,112.755,112.754,110.739,110.732,112.754,,110.431,110.231,112.755,107.027
15.836,15.862,0.075,0.071,0.065,0.072,120.014,120.013,117.991,117.984,120.013,,117.683,117.483,120.014,112.755
