Dev1/ai13 G input,Dev1/ai13 L input,Dev1/ai8 G input,Dev1/ai8 L input,Dev1/ai9 G input,Dev1/ai9 L input,Dev1/port0/line10 F output,Dev1/port0/line10 S output,Dev1/port0/line7 F output,Dev1/port0/line7 S output,Reached end condition,Session Finished,Tone F output,Tone S output,Trial name: Omer1-22.12.24 Finished,Trial name: Omer1-22.12.24 started
5.506,5.395,0.0,0.003,0.002,0.005,7.066,7.065,5.065,5.064,7.066,1302.742,4.756,4.556,7.067,0.0
13.515,5.563,0.008,0.012,0.01,0.015,14.298,14.298,12.304,12.297,14.298,,11.996,11.796,14.299,7.068
14.193,13.58,0.016,0.021,0.019,0.024,19.823,19.822,17.829,17.822,19.823,,17.521,17.321,19.823,14.299
15.635,14.287,0.027,0.032,0.029,0.035,25.684,25.683,23.689,23.682,25.683,,23.381,23.181,25.684,19.824
16.384,14.471,0.039,0.045,0.042,0.049,32.55,32.549,30.556,30.549,32.55,,30.248,30.048,32.551,25.685
16.93,15.229,0.053,0.062,0.058,0.067,38.613,38.612,36.618,36.611,38.612,,36.311,36.111,38.613,32.551
18.591,15.708,0.071,0.08,0.076,0.085,46.065,46.064,44.07,44.063,46.064,,43.762,43.562,46.065,38.614
24.044,16.438,0.09,0.099,0.095,0.104,53.015,53.014,51.021,51.014,53.015,,50.713,50.513,53.015,46.065
24.173,16.981,0.109,0.118,0.113,0.122,59.038,59.037,57.043,57.036,59.037,,56.735,56.535,59.038,53.016
24.31,17.619,0.126,0.135,0.131,0.14,64.829,64.828,62.834,62.827,64.828,,62.526,62.326,64.829,59.038
24.444,17.844,0.143,0.151,0.147,0.154,71.068,71.067,69.073,69.066,71.067,,68.765,75.097,71.068,64.829
24.586,18.685,0.158,0.164,0.161,0.167,77.599,77.598,75.605,75.598,77.599,,75.297,82.157,77.6,71.068
24.732,23.956,0.171,0.176,0.174,0.179,84.66,84.659,82.666,82.659,84.66,,82.357,87.72,84.661,77.6
24.875,24.09,0.182,0.187,0.184,0.19,90.222,90.221,88.228,88.221,90.222,,87.92,94.762,90.222,84.661
25.025,24.224,0.192,0.197,0.194,0.198,97.265,104.108,95.27,95.263,97.264,,94.962,101.606,97.265,90.223
25.184,24.354,0.2,0.205,0.203,0.207,104.109,111.568,102.114,102.107,104.108,,101.806,109.067,104.109,97.265
25.527,24.491,0.209,0.212,0.211,0.215,118.908,118.907,109.575,109.568,111.569,,109.267,116.406,111.57,104.109
25.68,24.638,0.217,0.22,0.218,0.222,125.16,125.159,116.914,116.907,118.908,,116.606,122.658,118.909,111.57
25.844,24.781,0.224,0.227,0.226,0.229,131.819,131.818,123.165,123.159,125.159,,122.858,135.021,125.16,118.909
25.987,24.924,0.23,0.234,0.233,0.236,137.524,137.523,129.824,129.817,131.818,,129.516,142.287,131.819,125.161
26.146,25.069,0.238,0.241,0.24,0.243,144.789,144.788,135.529,135.522,137.523,,135.221,148.794,137.524,131.82
26.341,25.225,0.244,0.248,0.246,0.249,151.296,151.295,142.795,142.788,144.789,,142.487,155.571,144.79,137.524
26.506,25.58,0.25,0.254,0.253,0.256,158.074,158.073,149.301,149.294,151.295,,148.994,162.836,151.296,144.79
26.87,25.893,0.257,0.261,0.259,0.262,165.339,165.338,156.079,156.072,158.073,,155.771,169.156,158.074,151.296
27.073,26.072,0.263,0.267,0.265,0.268,171.658,171.658,169.664,163.337,165.338,,163.036,176.64,165.339,158.074
27.294,26.216,0.27,0.272,0.271,0.274,179.142,179.141,177.147,169.657,171.658,,169.356,182.608,171.659,165.339
27.463,26.399,0.276,0.278,0.277,0.28,185.11,185.109,183.116,177.141,179.142,,176.84,189.401,179.143,171.659
27.633,26.554,0.281,0.285,0.283,0.286,191.903,191.902,189.909,183.109,185.11,,182.808,195.067,185.111,179.143
